100nm,200nm,400nm,800nm
0.017133554,0.013923171,0.008833167,0.004698788
0.017100259,0.013878432,0.008814347,0.004693141
0.017066437,0.013833987,0.008795575,0.004687505
0.017032103,0.013789835,0.008776853,0.00468188
0.016997269,0.01374598,0.00875818,0.004676264
0.016961947,0.013702422,0.008739559,0.004670659
0.016926151,0.013659163,0.008720989,0.004665065
0.016889893,0.013616204,0.008702471,0.00465948
0.016853187,0.013573547,0.008684007,0.004653906
0.016816045,0.013531192,0.008665597,0.004648342
0.016778479,0.01348914,0.008647241,0.004642788
0.016740503,0.013447392,0.008628941,0.004637243
0.016702129,0.013405948,0.008610696,0.004631709
0.01666337,0.013364808,0.008592509,0.004626184
0.016624238,0.013323974,0.008574379,0.004620669
0.016584746,0.013283444,0.008556307,0.004615164
0.016544905,0.013243219,0.008538294,0.004609668
0.01650473,0.013203299,0.00852034,0.004604182
0.016464231,0.013163684,0.008502446,0.004598705
0.016423421,0.013124372,0.008484613,0.004593238
0.016382311,0.013085365,0.008466842,0.00458778
0.016340915,0.01304666,0.008449132,0.004582331
0.016299243,0.013008258,0.008431484,0.004576892
0.016257307,0.012970157,0.0084139,0.004571462
0.01621512,0.012932358,0.008396379,0.004566041
0.016172692,0.012894857,0.008378922,0.00456063
0.016130035,0.012857656,0.00836153,0.004555228
0.01608716,0.012820751,0.008344203,0.004549834
0.016044079,0.012784143,0.008326941,0.00454445
0.016000801,0.012747829,0.008309745,0.004539075
0.015957339,0.012711808,0.008292615,0.004533709
0.015913703,0.012676079,0.008275553,0.004528352
0.015869903,0.01264064,0.008258557,0.004523004
0.01582595,0.012605489,0.008241629,0.004517665
0.015781854,0.012570624,0.008224769,0.004512336
0.015737626,0.012536044,0.008207977,0.004507014
0.015693275,0.012501746,0.008191254,0.004501702
0.015648811,0.012467728,0.0081746,0.004496399
0.015604244,0.012433989,0.008158015,0.004491105
0.015559583,0.012400525,0.008141499,0.00448582
0.015514839,0.012367336,0.008125053,0.004480543
0.01547002,0.012334418,0.008108677,0.004475276
0.015425134,0.012301769,0.008092371,0.004470017
0.015380192,0.012269387,0.008076135,0.004464767
0.015335202,0.012237269,0.00805997,0.004459527
0.015290173,0.012205413,0.008043876,0.004454295
0.015245113,0.012173816,0.008027852,0.004449072
0.01520003,0.012142475,0.0080119,0.004443857
0.015154932,0.012111388,0.007996018,0.004438652
0.015109828,0.012080552,0.007980207,0.004433456
0.015064725,0.012049964,0.007964468,0.004428269
0.015019632,0.012019621,0.007948799,0.00442309
0.014974554,0.011989521,0.007933202,0.004417921
0.014929501,0.01195966,0.007917677,0.00441276
0.014884479,0.011930036,0.007902222,0.004407609
0.014839495,0.011900645,0.007886838,0.004402466
0.014794556,0.011871485,0.007871526,0.004397332
0.014749668,0.011842553,0.007856285,0.004392208
0.014704839,0.011813845,0.007841115,0.004387092
0.014660075,0.011785358,0.007826015,0.004381986
0.014615382,0.011757089,0.007810987,0.004376888
0.014570766,0.011729036,0.007796029,0.0043718
0.014526233,0.011701195,0.007781141,0.004366721
0.01448179,0.011673562,0.007766324,0.004361651
0.014437441,0.011646135,0.007751577,0.00435659
0.014393192,0.01161891,0.0077369,0.004351538
0.014349049,0.011591884,0.007722292,0.004346496
0.014305016,0.011565054,0.007707755,0.004341462
0.0142611,0.011538417,0.007693286,0.004336438
0.014217304,0.011511969,0.007678886,0.004331424
0.014173634,0.011485707,0.007664555,0.004326418
0.014130095,0.011459628,0.007650292,0.004321422
0.01408669,0.011433729,0.007636098,0.004316435
0.014043425,0.011408006,0.007621971,0.004311458
0.014000304,0.011382456,0.007607912,0.00430649
0.01395733,0.011357076,0.00759392,0.004301531
0.013914508,0.011331862,0.007579994,0.004296582
0.013871842,0.011306812,0.007566135,0.004291643
0.013829335,0.011281922,0.007552342,0.004286712
0.013786991,0.011257189,0.007538614,0.004281792
0.013744814,0.01123261,0.007524951,0.004276881
0.013702807,0.011208181,0.007511353,0.00427198
0.013660973,0.011183899,0.00749782,0.004267088
0.013619315,0.011159762,0.00748435,0.004262206
0.013577837,0.011135765,0.007470944,0.004257333
0.01353654,0.011111907,0.0074576,0.00425247
0.013495429,0.011088183,0.007444319,0.004247617
0.013454506,0.011064591,0.0074311,0.004242774
0.013413773,0.011041128,0.007417942,0.004237941
0.013373232,0.011017791,0.007404845,0.004233117
0.013332887,0.010994576,0.007391809,0.004228303
0.013292739,0.010971481,0.007378832,0.004223499
0.01325279,0.010948502,0.007365915,0.004218705
0.013213043,0.010925638,0.007353056,0.004213921
0.013173499,0.010902885,0.007340256,0.004209147
0.01313416,0.01088024,0.007327513,0.004204383
0.013095029,0.0108577,0.007314828,0.004199628
0.013056106,0.010835263,0.007302199,0.004194884
0.013017393,0.010812926,0.007289626,0.00419015
0.012978891,0.010790686,0.007277108,0.004185425
0.012940603,0.010768541,0.007264645,0.004180711
0.012902528,0.010746487,0.007252237,0.004176007
0.012864669,0.010724523,0.007239882,0.004171313
0.012827026,0.010702646,0.00722758,0.004166629
0.0127896,0.010680854,0.00721533,0.004161955
0.012752393,0.010659143,0.007203132,0.004157292
0.012715405,0.010637512,0.007190985,0.004152638
0.012678637,0.010615959,0.007178889,0.004147995
0.012642089,0.01059448,0.007166843,0.004143362
0.012605762,0.010573074,0.007154846,0.004138739
0.012569657,0.010551739,0.007142898,0.004134126
