100nm,200nm,400nm,800nm
0.009350658,0.006466766,0.003838127,0.001957305
0.009306536,0.006448392,0.003829514,0.00195463
0.009262728,0.006430161,0.003820956,0.00195196
0.009219234,0.006412069,0.003812452,0.001949297
0.009176056,0.006394111,0.003804003,0.001946639
0.009133196,0.006376286,0.003795608,0.001943986
0.009090653,0.006358588,0.003787265,0.00194134
0.00904843,0.006341015,0.003778976,0.001938699
0.009006526,0.006323564,0.003770738,0.001936064
0.008964943,0.006306232,0.003762553,0.001933434
0.00892368,0.006289014,0.003754418,0.001930811
0.00888274,0.006271908,0.003746334,0.001928193
0.008842121,0.006254912,0.0037383,0.001925582
0.008801823,0.00623802,0.003730315,0.001922976
0.008761848,0.006221232,0.003722379,0.001920377
0.008722195,0.006204543,0.003714492,0.001917783
0.008682864,0.00618795,0.003706652,0.001915196
0.008643854,0.006171451,0.003698859,0.001912614
0.008605166,0.006155043,0.003691112,0.001910039
0.008566799,0.006138724,0.003683412,0.00190747
0.008528752,0.006122489,0.003675757,0.001904908
0.008491026,0.006106337,0.003668146,0.001902351
0.008453618,0.006090265,0.003660579,0.001899801
0.008416529,0.00607427,0.003653056,0.001897258
0.008379758,0.00605835,0.003645575,0.00189472
0.008343304,0.006042502,0.003638137,0.001892189
0.008307165,0.006026724,0.00363074,0.001889665
0.008271341,0.006011013,0.003623384,0.001887147
0.008235831,0.005995368,0.003616068,0.001884635
0.008200633,0.005979785,0.003608792,0.00188213
0.008165746,0.005964263,0.003601555,0.001879632
0.008131169,0.005948798,0.003594356,0.00187714
0.0080969,0.005933391,0.003587195,0.001874654
0.008062938,0.005918037,0.003580071,0.001872176
0.008029282,0.005902735,0.003572984,0.001869704
0.007995929,0.005887484,0.003565932,0.001867238
0.007962878,0.005872281,0.003558916,0.001864779
0.007930128,0.005857124,0.003551934,0.001862327
0.007897677,0.005842012,0.003544986,0.001859882
0.007865522,0.005826943,0.003538071,0.001857443
0.007833663,0.005811916,0.003531189,0.001855012
0.007802097,0.005796928,0.003524339,0.001852586
0.007770821,0.005781978,0.003517521,0.001850168
0.007739836,0.005767064,0.003510733,0.001847756
0.007709137,0.005752186,0.003503976,0.001845352
0.007678723,0.005737342,0.003497248,0.001842954
0.007648593,0.005722529,0.00349055,0.001840563
0.007618743,0.005707749,0.003483879,0.001838178
0.007589171,0.005692998,0.003477237,0.001835801
0.007559877,0.005678275,0.003470622,0.00183343
0.007530856,0.005663581,0.003464033,0.001831066
0.007502107,0.005648913,0.003457471,0.001828709
0.007473628,0.005634271,0.003450934,0.001826359
0.007445416,0.005619653,0.003444422,0.001824015
0.007417469,0.005605059,0.003437934,0.001821679
0.007389784,0.005590488,0.003431471,0.001819349
0.007362359,0.005575939,0.00342503,0.001817026
0.007335191,0.005561411,0.003418613,0.00181471
0.007308279,0.005546904,0.003412218,0.001812401
0.007281619,0.005532417,0.003405844,0.001810099
0.007255209,0.005517949,0.003399492,0.001807803
0.007229047,0.005503501,0.00339316,0.001805514
0.007203129,0.00548907,0.003386849,0.001803232
