100nm,200nm,400nm,800nm
0.003640019,0.006198671,0.004588903,0.002673677
0.003673592,0.006195109,0.004582717,0.002670721
0.003706902,0.006191237,0.004576525,0.002667772
0.003739944,0.006187064,0.004570328,0.002664832
0.003772708,0.006182597,0.004564123,0.0026619
0.003805188,0.006177842,0.004557913,0.002658975
0.003837378,0.006172808,0.004551695,0.002656059
0.003869269,0.006167502,0.00454547,0.00265315
0.003900855,0.006161931,0.004539237,0.002650248
0.00393213,0.006156102,0.004532996,0.002647355
0.003963087,0.006150023,0.004526747,0.002644469
0.003993721,0.006143701,0.00452049,0.00264159
0.004024026,0.006137142,0.004514224,0.002638719
0.004053996,0.006130354,0.00450795,0.002635856
0.004083624,0.006123344,0.004501667,0.002633
0.004112908,0.006116119,0.004495375,0.002630152
0.00414184,0.006108685,0.004489074,0.002627311
0.004170416,0.006101049,0.004482763,0.002624477
0.004198633,0.006093217,0.004476443,0.00262165
0.004226484,0.006085197,0.004470115,0.002618831
0.004253967,0.006076994,0.004463776,0.002616019
0.004281077,0.006068615,0.004457428,0.002613214
0.00430781,0.006060066,0.004451071,0.002610416
0.004334163,0.006051354,0.004444705,0.002607625
0.004360133,0.006042484,0.004438329,0.002604841
0.004385715,0.006033463,0.004431944,0.002602064
0.004410909,0.006024296,0.00442555,0.002599294
0.00443571,0.00601499,0.004419147,0.002596531
0.004460116,0.006005549,0.004412734,0.002593774
0.004484125,0.005995981,0.004406313,0.002591024
0.004507735,0.00598629,0.004399883,0.002588281
0.004530944,0.005976482,0.004393444,0.002585544
0.00455375,0.005966562,0.004386996,0.002582814
0.004576152,0.005956536,0.004380541,0.002580091
0.004598148,0.005946409,0.004374077,0.002577374
0.004619737,0.005936186,0.004367605,0.002574663
0.004640919,0.005925872,0.004361126,0.002571959
0.004661693,0.005915472,0.004354638,0.00256926
0.004682058,0.005904991,0.004348144,0.002566568
0.004702014,0.005894433,0.004341643,0.002563883
0.00472156,0.005883804,0.004335134,0.002561203
0.004740697,0.005873109,0.004328619,0.002558529
0.004759425,0.00586235,0.004322098,0.002555862
0.004777745,0.005851534,0.004315571,0.0025532
0.004795656,0.005840664,0.004309038,0.002550544
0.004813159,0.005829745,0.0043025,0.002547894
0.004830256,0.005818781,0.004295957,0.00254525
0.004846946,0.005807775,0.004289408,0.002542612
0.004863233,0.005796733,0.004282856,0.002539979
0.004879116,0.005785657,0.004276299,0.002537352
0.004894597,0.005774552,0.004269738,0.00253473
0.004909678,0.005763421,0.004263174,0.002532114
0.00492436,0.005752269,0.004256607,0.002529503
